Mstar (Msun),Age log(years),Age (Myr),Teff (K),log(L/Lsun),logg (g/cm^3),Rstar (Rsun)
0.15,9.750468,5629.476364,3131,-2.58,5.13,0.175
0.15,9.760138,5756.228163,3131,-2.579,5.13,0.175
0.15,9.769597,5882.974962,3131,-2.579,5.13,0.175
0.15,9.781139,6041.419597,3132,-2.579,5.13,0.175
0.15,9.790156,6168.165246,3132,-2.579,5.13,0.175
0.15,9.79899,6294.916881,3132,-2.579,5.13,0.175
0.15,9.809786,6453.361592,3132,-2.579,5.13,0.175
0.15,9.82032,6611.804443,3132,-2.579,5.13,0.175
0.15,9.830604,6770.238996,3132,-2.579,5.13,0.175
0.15,9.840651,6928.687914,3132,-2.579,5.13,0.175
0.15,9.85047,7087.123486,3132,-2.579,5.129,0.175
0.15,9.860073,7245.577398,3132,-2.579,5.129,0.175
0.15,9.869467,7404.010057,3132,-2.579,5.129,0.175
0.15,9.880478,7594.129522,3132,-2.579,5.129,0.175
0.15,9.889446,7752.575422,3132,-2.579,5.129,0.175
0.15,9.899968,7942.697086,3132,-2.578,5.129,0.175
0.15,9.910242,8132.835723,3132,-2.578,5.129,0.175
0.15,9.920278,8322.963691,3132,-2.578,5.129,0.175
0.15,9.930087,8513.085594,3132,-2.578,5.129,0.175
0.15,9.93968,8703.220766,3132,-2.578,5.129,0.175
0.15,9.949065,8893.342128,3132,-2.578,5.129,0.175
0.15,9.959764,9115.153781,3133,-2.578,5.129,0.175
0.15,9.970206,9336.970787,3133,-2.578,5.129,0.175
0.15,9.980403,9558.791748,3133,-2.578,5.129,0.175
0.15,9.990366,9780.61131,3133,-2.578,5.129,0.175
0.15,10.000104,10002.39498,3133,-2.577,5.129,0.175
0.17,5.693846,0.494135436,3139,-0.669,3.278,1.568
0.17,5.7104,0.513333964,3139,-0.67,3.279,1.565
0.17,5.72594,0.532034751,3139,-0.672,3.281,1.562
0.17,5.74057,0.550262605,3140,-0.673,3.282,1.559
0.17,5.754374,0.568033567,3140,-0.675,3.284,1.556
0.17,5.767428,0.585366683,3140,-0.676,3.285,1.553
0.17,5.779796,0.602276614,3140,-0.677,3.287,1.551
0.17,5.791532,0.618773919,3140,-0.679,3.288,1.548
0.17,5.802688,0.63487467,3140,-0.68,3.29,1.545
0.17,5.813307,0.650589425,3140,-0.682,3.291,1.543
0.17,5.823429,0.665930644,3140,-0.683,3.293,1.54
0.17,5.833088,0.680907315,3140,-0.685,3.294,1.537
0.17,5.842317,0.695531815,3141,-0.686,3.296,1.535
0.17,5.851143,0.709811449,3141,-0.687,3.297,1.532
0.17,5.859594,0.723759038,3141,-0.689,3.299,1.53
0.17,5.867691,0.737379399,3141,-0.69,3.3,1.527
0.17,5.875458,0.750685453,3141,-0.692,3.302,1.525
0.17,5.882914,0.763684542,3141,-0.693,3.303,1.522
0.17,5.890076,0.776382969,3141,-0.695,3.305,1.52
0.17,5.896961,0.788789281,3141,-0.696,3.306,1.517
0.17,5.903586,0.800914212,3141,-0.697,3.307,1.515
0.17,5.909964,0.812763141,3141,-0.699,3.309,1.512
0.17,5.916108,0.824343086,3141,-0.7,3.31,1.51
0.17,5.92203,0.835660742,3141,-0.701,3.312,1.507
0.17,5.933255,0.857541211,3142,-0.704,3.315,1.502
0.17,5.943721,0.878457995,3142,-0.707,3.317,1.497
0.17,5.9535,0.898462593,3142,-0.71,3.32,1.493
0.17,5.962653,0.917599145,3142,-0.712,3.323,1.488
0.17,5.971236,0.935914121,3142,-0.715,3.326,1.483
0.17,5.979299,0.953452364,3142,-0.718,3.328,1.479
0.17,5.990512,0.978389988,3142,-0.722,3.332,1.472
0.17,6.000777,1.00179071,3142,-0.726,3.336,1.465
0.17,6.010207,1.023780846,3143,-0.729,3.34,1.458
0.17,6.021636,1.051080551,3143,-0.734,3.345,1.45
0.17,6.029453,1.070170561,3143,-0.738,3.349,1.444
0.17,6.038994,1.093941253,3143,-0.743,3.354,1.435
0.17,6.049691,1.121220423,3143,-0.749,3.36,1.426
0.17,6.059223,1.146101286,3143,-0.755,3.366,1.416
0.17,6.069368,1.173189048,3143,-0.762,3.373,1.405
0.17,6.07972,1.201489556,3143,-0.769,3.38,1.393
0.17,6.089962,1.230161129,3143,-0.777,3.388,1.38
0.17,6.099867,1.258539933,3143,-0.786,3.397,1.367
0.17,6.109292,1.286151119,3142,-0.795,3.405,1.353
0.17,6.119632,1.317140185,3142,-0.805,3.416,1.337
0.17,6.129558,1.347590684,3142,-0.816,3.427,1.32
0.17,6.13941,1.378510251,3141,-0.828,3.438,1.303
0.17,6.149308,1.410288615,3141,-0.84,3.45,1.286
0.17,6.159236,1.442899225,3140,-0.852,3.462,1.268
0.17,6.170182,1.479728369,3139,-0.866,3.475,1.249
0.17,6.180264,1.514481595,3138,-0.878,3.487,1.232
0.17,6.192088,1.556280945,3137,-0.893,3.501,1.212
0.17,6.200194,1.585601325,3136,-0.903,3.51,1.199
0.17,6.212582,1.631480923,3135,-0.918,3.524,1.18
0.17,6.220994,1.66338967,3134,-0.927,3.533,1.168
0.17,6.229528,1.69639897,3133,-0.937,3.543,1.155
0.17,6.242569,1.748110977,3131,-0.952,3.557,1.137
0.17,6.251419,1.784099206,3130,-0.962,3.566,1.125
0.17,6.260393,1.82134828,3129,-0.972,3.575,1.113
0.17,6.26949,1.859901737,3128,-0.982,3.585,1.101
0.17,6.283356,1.920242157,3127,-0.996,3.599,1.083
0.17,6.292748,1.962221365,3126,-1.006,3.608,1.071
0.17,6.302255,2.005649317,3126,-1.016,3.617,1.06
0.17,6.311875,2.050571892,3125,-1.026,3.627,1.049
0.17,6.321605,2.097031721,3124,-1.035,3.636,1.037
0.17,6.331439,2.145057805,3124,-1.045,3.645,1.026
0.17,6.341377,2.19470928,3124,-1.054,3.655,1.015
0.17,6.351416,2.246032313,3123,-1.064,3.664,1.004
0.17,6.361548,2.299047795,3123,-1.073,3.674,0.994
0.17,6.371777,2.353840332,3123,-1.083,3.683,0.983
0.17,6.382096,2.410438193,3123,-1.092,3.692,0.972
0.17,6.392505,2.468908529,3123,-1.102,3.702,0.962
0.17,6.403002,2.529309644,3123,-1.111,3.711,0.952
0.17,6.413585,2.591701619,3123,-1.12,3.721,0.941
0.17,6.424246,2.656109652,3123,-1.13,3.73,0.931
0.17,6.429609,2.689112677,3124,-1.134,3.735,0.926
0.17,6.44039,2.756703134,3124,-1.143,3.744,0.916
0.17,6.451247,2.82648705,3125,-1.152,3.754,0.906
0.17,6.462181,2.898551359,3126,-1.162,3.763,0.896
0.17,6.473188,2.972952703,3126,-1.171,3.772,0.887
0.17,6.484266,3.049762359,3127,-1.179,3.782,0.877
0.17,6.489832,3.089100231,3128,-1.184,3.787,0.872
0.17,6.501013,3.169662341,3129,-1.193,3.796,0.863
0.17,6.512259,3.252812274,3130,-1.202,3.806,0.854
0.17,6.523564,3.338597009,3131,-1.21,3.815,0.844
0.17,6.529235,3.382478151,3132,-1.215,3.82,0.84
0.17,6.540611,3.472250107,3134,-1.223,3.829,0.831
0.17,6.552033,3.564782195,3135,-1.232,3.839,0.822
0.17,6.563494,3.660108839,3137,-1.24,3.848,0.813
0.17,6.56924,3.708856241,3138,-1.244,3.853,0.808
0.17,6.580761,3.808561738,3140,-1.253,3.862,0.799
0.17,6.592318,3.911271829,3142,-1.261,3.872,0.791
0.17,6.603906,4.017038555,3145,-1.269,3.881,0.782
0.17,6.609713,4.071111528,3146,-1.273,3.886,0.778
0.17,6.621349,4.18166271,3148,-1.282,3.896,0.769
0.17,6.633011,4.295473064,3151,-1.29,3.905,0.761
0.17,6.644697,4.412624785,3153,-1.298,3.915,0.753
0.17,6.650546,4.47245521,3155,-1.302,3.919,0.749
